Geneid	count
Xkr4	1459
Gm19938	17
Gm10568	10
Rp1	4
Sox17	48
Mrpl15	527
Lypla1	439
Gm19860	1
Tcea1	1712
Rgs20	517
Atp6v1h	3032
Oprk1	220
Npbwr1	90
Rb1cc1	2131
Fam150a	1
St18	85
Pcmtd1	1989
Sntg1	308
Rrs1	577
Adhfe1	196
2610203C22Rik	10
3110035E14Rik	3229
Mybl1	73
Vcpip1	1649
1700034P13Rik	2
Sgk3	347
Gm6195	1
6030422M02Rik	19
Snhg6	244
Snord87	0
Gm10567	12
Tcf24	1
Ppp1r42	13
Cops5	2015
Cspp1	400
Arfgef1	3844
Cpa6	2
Prex2	345
A830018L16Rik	2453
4932411L15	0
Sulf1	494
Slco5a1	1021
Prdm14	0
Ncoa2	2959
Tram1	914
Lactb2	141
Xkr9	0
Gm5523	0
Eya1	215
Msc	35
Trpa1	412
Kcnb2	388
Terf1	124
Gm106	13
Gm7634	0
4930444P10Rik	16
Rpl7	5706
Rdh10	218
Stau2	3930
Ube2w	1465
Tceb1	1474
D030040B21Rik	0
Tmem70	661
Ly96	12
Jph1	405
Gdap1	4858
Pi15	32
Crispld1	54
Crisp4	0
Defb44-ps	0
Defb18	0
Defb41	0
Gm15386	0
Tfap2d	58
Tfap2b	33
Pkhd1	0
4930486I03Rik	0
Mir206	0
Mir133b	0
Il17a	0
Il17f	1
Mcm3	225
6720483E21Rik	5
Paqr8	1897
Efhc1	29
Tram2	35
Tmem14a	205
Gsta3	9
Gm4956	0
Khdc1a	0
Khdc1c	0
Khdc1b	1
Kcnq5	2814
Rims1	1667
Rims1-2	1375
4933415F23Rik	0
Mir30a	0
Mir30c-2	0
Ogfrl1	1608
Gm19673	0
B3gat2	611
Smap1	2708
1110058L19Rik	194
Fam135a	948
Col9a1	88
Col19a1	563
Lmbrd1	2677
Bai3	5101
Gm20172	1
4931408C20Rik	0
Gm5524	0
Gm7846	5
Gm597	0
Gm6462	0
Gm9898	3
Phf3	2431
Ptp4a1	1837
4931428L18Rik	0
Lgsn	0
4930521A18Rik	0
Gm4850	0
Gm6489	0
Khdrbs2	240
Gm9839	3
Gm5415	6
Prim2	291
1700001G17Rik	9
Rab23	952
Bag2	321
Zfp451	443
Gm15455	1
Bend6	5319
Dst	8266
Mir5103	1
Ccdc115	438
Imp4	378
D1Ertd448e	211
Ptpn18	17
Prss39	0
Cfc1	1
Prss40	0
Fam123c	1761
AA619741	0
Arhgef4	1829
Fam168b	10583
Plekhb2	5552
Hs6st1	3447
Uggt1	2320
Neurl3	8
Arid5a	72
4632411B12Rik	1736
Lman2l	733
Cnnm4	468
Cnnm3	807
Ankrd23	43
Ankrd39	124
Sema4c	979
Fam178b	1
Cox5b	1927
Actr1b	2741
4933424G06Rik	11
Zap70	55
Tmem131	3329
Vwa3b	28
Cnga3	7
Inpp4a	3466
6330578E17Rik	1656
Unc50	484
Mgat4a	1233
4930594C11Rik	2
LOC100861893	0
2010300C02Rik	1241
Gm19863	0
Tsga10	220
Lipt1	96
Mitd1	88
Mrpl30	796
Lyg2	0
Lyg1	0
Txndc9	1191
Eif5b	2616
Rev1	660
Aff3	2546
Lonrf2	6263
Chst10	2072
Gm19877	1
Nms	0
Pdcl3	676
Npas2	963
Rpl31	2722
Tbc1d8	528
D1Bwg0212e	726
Snord89	8
Rnf149	371
Creg2	2873
Rfx8	6
Gm3646	0
1700066B17Rik	0
Map4k4	7547
Gm16894	27
Il1r2	3
Il1r1	66
Il1rl2	21
Il1rl1	8
Il18r1	0
Il18rap	2
Slc9a4	8
Slc9a2	71
Mfsd9	320
Tmem182	0
4930448I06Rik	0
2610017I09Rik	1121
Pou3f3	2454
2900092D14Rik	850
Mrps9	383
Gpr45	463
Tgfbrap1	1798
AI597479	783
Fhl2	302
Gm8210	5
Nck2	964
LOC100861934	1
1500015O10Rik	86
Uxs1	536
Gm19587	2
Tpp2	2006
A530098C11Rik	7
1700029F09Rik	109
Kdelc1	258
Bivm	916
Ercc5	433
LOC100861960	0
4832428D23Rik	0
Gulp1	102
4930521E06Rik	0
Col3a1	1376
Col5a2	626
Wdr75	715
Gm5526	10
Slc40a1	551
Gm3852	0
Gm4776	0
Dnahc7b	47
Dnahc7c	104
Slc39a10	4554
C230029F24Rik	0
Tmeff2	1016
9330175M20Rik	2
Sdpr	121
Obfc2a	216
Gm17767	0
Myo1b	1610
Stat4	48
Gm3940	0
Stat1	270
Gls	5316
Nab1	1239
Tmem194b	115
Mfsd6	2593
Inpp1	520
Hibch	240
1700019D03Rik	72
Mstn	43
1700019A02Rik	1
Pms1	90
Ormdl1	241
Osgepl1	179
Asnsd1	836
Dnahc7a	42
Stk17b	187
Hecw2	1685
Ccdc150	2
Gtf3c3	696
Pgap1	2326
Ankrd44	692
Sf3b1	5957
Coq10b	416
Hspd1	5014
Hspe1	838
Mob4	2279
Rftn2	492
Mars2	354
Boll	0
Plcl1	677
Gm6644	0
9130227L01Rik	23
Hsfy2	0
Satb2	7602
9130024F11Rik	654
BC055402	8
4930558J18Rik	2
1700066M21Rik	611
1110034B05Rik	234
9430016H08Rik	246
Spats2l	958
Kctd18	220
Sgol2	128
Aox1	26
Aox3	25
Aox4	124
Aox3l1	1
Bzw1	9657
Clk1	1167
Ppil3	320
Nif3l1	506
Orc2	536
Gm15834	2
Fam126b	1286
Ndufb3	691
Gm20257	10
Als2cr12	6
Cflar	385
Casp8	91
Trak2	4813
Stradb	1636
Als2cr11	1
Als2cr4	590
Mpp4	13
Als2	1684
Cdk15	2
Fzd7	223
Gm973	75
Sumo1	1372
Nop58	1154
Snord70	0
Snord11	0
Bmpr2	2226
Gm20272	324
Fam117b	3286
Ica1l	1398
Wdr12	664
Carf	273
Gm15464	14
Nbeal1	297
Cyp20a1	295
Abi2	10409
Raph1	3041
Gm11575	0
Gm11578	1
Cd28	9
Gm11579	0
Ctla4	0
Icos	7
9530026F06Rik	1
Pard3b	182
Nrp2	1527
4930487H11Rik	3
Ino80d	1026
Gm11602	59
Gm20342	23
Ndufs1	2041
Eef1b2	3510
Snora41	2
Gpr1	31
Zdbf2	939
Adam23	3487
Dytn	1
Mdh1b	9
Fastkd2	236
4933402D24Rik	26
Gm13749	22
Klf7	1156
Creb1	1730
Mettl21a	133
2810408I11Rik	6
Ccnyl1	568
Fzd5	55
Plekhm3	874
Akr1cl	0
Gm8550	0
Cryge	0
Crygd	0
Crygc	0
Crygb	0
Cryga	4
D630023F18Rik	123
Idh1	7021
Pikfyve	1316
Pth2r	59
Crygf	0
Mtap2	24541
Gm10558	10
Unc80	1340
Rpe	498
1110028C15Rik	272
Acadl	610
LOC100862127	0
Myl1	2
Lancl1	2197
Cps1	26
Erbb4	788
Gm19335	0
Ikzf2	139
Spag16	10
Vwc2l	588
Bard1	61
Abca12	21
Atic	1212
Fn1	2635
Apol7d	4
Gm8883	0
4933417E11Rik	0
Gm5528	0
Mreg	55
Pecr	58
Tmem169	1252
Xrcc5	236
March4	2828
Smarcal1	1384
Ankar	0
Rpl37a	2104
Igfbp2	1429
Igfbp5	9174
Tnp1	0
1700027A15Rik	0
Pinc	0
D530049I02Rik	0
6030407O03Rik	1
Tns1	529
Rufy4	3
LOC100862357	0
Cxcr2	0
Cxcr1	0
Mir1928	0
Arpc2	6130
Gpbar1	1
Aamp	2398
Pnkd	2164
Tmbim1	161
Gm216	22
Slc11a1	23
Ctdsp1	438
Mir26b	0
Vil1	19
Usp37	703
Rqcd1	1293
Plcd4	123
Zfp142	826
Bcs1l	339
Rnf25	605
Stk36	302
Ttll4	436
Cyp27a1	12
Prkag3	0
Wnt6	14
Wnt10a	9
Cdk5r2	8305
Fev	0
Cryba2	2
Mir375	0
Ccdc108	74
Ihh	1
Nhej1	17
Slc23a3	2
1810031K17Rik	658
Fam134a	3219
Zfand2b	167
Abcb6	921
Atg9a	2693
Ankzf1	276
Glb1l	256
Stk16	817
Tuba4a	3288
A630095N17Rik	2
Dnajb2	843
Ptprn	4227
Resp18	292
Dnpep	953
Des	24
Gm15179	0
Speg	2264
Gmppa	431
LOC100862164	1
Accn4	328
Chpf	1410
Tmem198	705
Obsl1	636
Inha	492
Stk11ip	654
Slc4a3	3853
LOC100862333	0
Gm17751	7
Epha4	7051
Pax3	0
Gm2102	0
Sgpp2	99
Farsb	1593
Mogat1	0
Acsl3	3123
Utp14b	146
Kcne4	19
Scg2	3235
LOC100862182	1
Ap1s3	26
Wdfy1	1235
Gm10555	0
Mrpl44	322
LOC100862198	17
Serpine2	3757
Fam124b	25
Cul3	4094
1700016L21Rik	0
Dock10	280
9430031J16Rik	516
Irs1	1098
Gm19537	2
Rhbdd1	85
Gm19552	0
Col4a4	84
Col4a3	45
Mff	3514
Tm4sf20	0
Gm17764	0
Agfg1	1966
Slc19a3	40
Krtap28-13	0
Ccl20	1
Wdr69	8
Sphkap	5498
