Geneid	count
Gm8550	0
Cryge	0
Crygd	0
Crygc	0
Crygb	4
Cryga	2
D630023F18Rik	143
Idh1	9142
Pikfyve	1207
Pth2r	51
Crygf	0
Mtap2	20515
Gm10558	5
Unc80	847
Rpe	442
1110028C15Rik	294
Acadl	635
LOC100862127	0
Myl1	3
Lancl1	2221
Cps1	24
Erbb4	735
Gm19335	0
Ikzf2	178
Spag16	24
Vwc2l	470
Bard1	59
Abca12	4
Atic	1333
Fn1	2877
Apol7d	7
Gm8883	0
4933417E11Rik	4
Gm5528	0
Mreg	46
Pecr	84
Tmem169	1207
Xrcc5	277
March4	2748
Smarcal1	1211
Ankar	0
Rpl37a	2996
Igfbp2	1693
Igfbp5	7006
Tnp1	0
1700027A15Rik	0
Pinc	0
D530049I02Rik	0
6030407O03Rik	10
Tns1	500
Rufy4	2
LOC100862357	0
Cxcr2	3
Cxcr1	0
Mir1928	0
Arpc2	6353
Gpbar1	0
Aamp	2477
Pnkd	2053
Tmbim1	137
Gm216	30
Slc11a1	21
Ctdsp1	561
Mir26b	0
Vil1	16
Usp37	691
Rqcd1	1486
Plcd4	111
Zfp142	780
Bcs1l	341
Rnf25	649
Stk36	299
Ttll4	412
Cyp27a1	15
Prkag3	0
Wnt6	27
Wnt10a	2
Cdk5r2	5904
Fev	0
Cryba2	0
Mir375	0
Ccdc108	130
Ihh	3
Nhej1	30
Slc23a3	0
1810031K17Rik	728
Fam134a	3203
Zfand2b	192
Abcb6	946
Atg9a	2116
Ankzf1	271
Glb1l	286
Stk16	1021
Tuba4a	2056
A630095N17Rik	1
Dnajb2	769
Ptprn	2790
Resp18	271
Dnpep	1098
Des	18
Gm15179	0
Speg	1697
Gmppa	384
LOC100862164	0
Accn4	244
Chpf	1284
Tmem198	652
Obsl1	674
Inha	427
Stk11ip	587
Slc4a3	3039
LOC100862333	0
Gm17751	1
Epha4	5912
Pax3	1
Gm2102	1
Sgpp2	73
Farsb	1821
Mogat1	2
Acsl3	2809
Utp14b	177
Kcne4	18
Scg2	2711
LOC100862182	1
Ap1s3	36
Wdfy1	460
Gm10555	0
Mrpl44	327
LOC100862198	13
Serpine2	2980
Fam124b	30
Cul3	3859
1700016L21Rik	0
Dock10	214
9430031J16Rik	389
Irs1	956
Gm19537	0
Rhbdd1	74
Gm19552	0
Col4a4	61
Col4a3	33
Mff	3727
Tm4sf20	0
Gm17764	0
Agfg1	1736
Slc19a3	34
Krtap28-13	0
Ccl20	1
Wdr69	16
Sphkap	3821
Pid1	1111
Dner	8555
Mir5126	0
Trip12	4257
Fbxo36	16
Slc16a14	470
Gm15433	0
A530032D15Rik	0
A530040E14Rik	0
Gm2619	0
Gm7609	0
C130026I21Rik	0
Gm2666	0
Gm2427	14
Gm7592	0
Sp110	22
Sp140	22
Gm10552	0
Gm19524	0
Sp100	12
A630001G21Rik	6
Cab39	4720
Itm2c	2752
4933407L21Rik	56
Gpr55	28
Spata3	3
2810459M11Rik	441
Psmd1	4682
Htr2b	7
Armc9	555
LOC100861644	5
B3gnt7	242
Gm5258	0
Ncl	10703
Snora75	0
Snord82	0
C130036L24Rik	7
Nmur1	1
1700019O17Rik	0
Ptma	8519
Pde6d	1310
Cops7b	728
Nppc	53
Dis3l2	820
Alppl2	0
Alpi	0
Akp3	0
Ecel1	125
Prss56	2
Chrnd	0
Chrng	0
Eif4e2	2042
Efhd1	79
Gigyf2	1478
Kcnj13	45
3110079O15Rik	3
Ngef	2522
A530079E22Rik	1
Gm6153	0
Neu2	11
Inpp5d	147
Atg16l1	983
Scarna6	1
Sag	14
Gm19582	0
Dgkd	4210
Usp40	357
Ugt1a10	0
Ugt1a9	0
Ugt1a7c	7
Ugt1a6b	10
Ugt1a6a	15
Ugt1a5	0
Ugt1a2	0
Dnajb3	62
Ugt1a1	0
Heatr7b1	1
Hjurp	237
6430706D22Rik	0
Trpm8	23
Spp2	2
Glrp1	0
Gm19589	1
Arl4c	3377
2410088K16Rik	0
1700067G17Rik	0
Sh3bp4	1063
C030007H22Rik	0
Agap1	7001
4933400F21Rik	0
Gbx2	4
Asb18	2
Iqca	13
Cxcr7	147
Cops8	1695
Gm9991	0
Col6a3	236
Mlph	14
Prlh	0
Rab17	1
Lrrfip1	1445
Rbm44	13
Ramp1	224
Ube2f	584
Gm7785	7
Scly	137
Espnl	4
Gm19636	0
Klhl30	1
Fam132b	5
Ilkap	737
1700020N18Rik	0
Hes6	617
Per2	301
Traf3ip1	400
Asb1	1341
Twist2	23
Hdac4	600
Ndufa10	2375
Olfr1416	0
Olfr1415	0
Olfr1414	0
Olfr1413	0
Olfr1412	0
Olfr1411	0
Olfr1410	0
Olfr12	0
Myeov2	691
Otos	1
Gpc1	3219
Gm20155	1
Mir149	5
Ankmy1	6
Dusp28	116
Rnpepl1	821
9430060I03Rik	15
Capn10	715
Gpr35	11
Aqp12	0
Kif1a	30683
Agxt	0
2310007B03Rik	1
E030010N08Rik	96
Sned1	84
Mterfd2	337
Pask	139
Ppp1r7	1934
Ano7	6
Hdlbp	4596
Sept2	2592
Farp2	67
Stk25	5092
Bok	780
Thap4	549
Atg4b	1266
Dtymk	575
Ing5	309
D2hgdh	247
Gal3st2	0
Gm9994	0
Gm7889	0
Gm6086	1
Neu4	16
Pdcd1	0
4930440C22Rik	0
Fam174a	287
St8sia4	909
4930598F16Rik	2
Gm20207	1
1700063A18Rik	0
4930533P14Rik	0
Slco4c1	42
Gm5101	125
Slco6b1	0
Slco6c1	0
Gm7133	0
Gm7135	0
D1Ertd622e	1236
Ppip5k2	1053
Gin1	111
Pam	2344
B230216N24Rik	34
1810006J02Rik	5
Slco6d1	0
Gm20253	2
Cntnap5b	409
Gm20268	0
Cdh20	558
Rnf152	1766
Gm17634	24
Pign	509
2310035C23Rik	2100
Gm10193	1
Tnfrsf11a	195
Gm7160	5
Zcchc2	776
LOC626049	6
Phlpp1	1435
Bcl2	511
D630008O14Rik	0
Kdsr	574
Vps4b	811
Serpinb5	1
Serpinb12	0
Serpinb13	0
Serpinb3a	0
Serpinb3d	0
Serpinb3b	0
Serpinb3c	0
Serpinb11	2
Serpinb7	0
Serpinb2	0
Serpinb10-ps	0
Serpinb8	14
Cdh7	268
Cdh19	5
Dsel	618
Cntnap5a	453
Gm7145	0
Tsn	3918
Mki67ip	1137
Clasp1	4631
2900060B14Rik	0
Tfcp2l1	86
Gli2	119
Inhbb	393
Gm19295	0
Ralb	586
Tmem185b	200
Epb4.1l5	317
Ptpn4	641
Tmem177	233
Gm101	15
Sctr	14
Tmem37	19
Dbi	2733
3110009E18Rik	25
Steap3	139
C1ql2	18
Marco	1
En1	3
B230209K01Rik	25
Insig2	617
Ccdc93	854
Htr5b	70
Ddx18	438
Gm19329	0
Dpp10	2866
Actr3	7939
Slc35f5	631
Gpr39	1
Lypd1	290
Nckap5	698
Mgat5	880
Gm8451	8
Tmem163	566
Acmsd	3
2900009J06Rik	18
Ccnt2	728
Ysk4	66
Rab3gap1	843
Zranb3	208
R3hdm1	4039
Mir128-1	2
Ubxn4	1910
Lct	29
Mcm6	761
Dars	1700
Cxcr4	403
Thsd7b	589
Gm10191	0
Daf2	0
Cd55	240
Zp3r	0
C4bp	2
C4bp-ps1	0
Pfkfb2	1405
Yod1	193
AA986860	12
Fcamr	0
Gm15848	0
Pigr	4
Faim3	2
Il24	0
Il20	0
Il19	0
Il10	1
Mapkapk2	953
Dyrk3	288
Eif2d	705
Rassf5	214
Ikbke	38
Srgap2	6129
Fam72a	45
Avpr1b	4
Ctse	0
5430435G22Rik	25
Slc26a9	6
Pm20d1	6
Slc41a1	1180
Rab7l1	61
Nucks1	7603
Slc45a3	9
Elk4	424
Mfsd4	437
Cdk18	102
Mir135b	1
Lemd1	49
Klhdc8a	481
Nuak2	72
Tmcc2	4045
Dstyk	934
Rbbp5	688
Tmem81	38
Cntn2	4259
Nfasc	4360
Gm10538	0
Lrrn2	3795
Mdm4	941
Pik3c2b	1143
Ppp1r15b	1915
Plekha6	1426
Gm19461	4
